281.000000	68.000000	351.000000	97.000000	
27.000000	195.000000	579.000000	231.000000	
27.000000	244.000000	367.000000	280.000000	
26.000000	345.000000	335.000000	381.000000	
27.000000	444.000000	581.000000	481.000000	
27.000000	495.000000	581.000000	531.000000	
27.000000	546.000000	548.000000	580.000000	
26.000000	695.000000	581.000000	731.000000	
26.000000	746.000000	531.000000	782.000000	
28.000000	845.000000	581.000000	881.000000	
27.000000	893.000000	269.000000	931.000000	
26.000000	996.000000	580.000000	1031.000000	
26.000000	1045.000000	599.000000	1081.000000	
27.000000	1095.000000	465.000000	1131.000000	
26.000000	1195.000000	581.000000	1232.000000	
28.000000	1246.000000	433.000000	1280.000000	
27.000000	1346.000000	498.000000	1380.000000	
26.000000	1444.000000	559.000000	1482.000000	
27.000000	1496.000000	334.000000	1532.000000	
